Id_num,Nom,Cognoms,País d'origen,Ciutat,Day,Month,Year,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Full Name,Spanish,Children,Date_of_birth,Age,Grup,Increment,New_salary
412,Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Woman,2.964,,1.0,Grup D,Laia Sánchez López,Non,No,1972-08-05,53,Grup D,8.0,3.2
479,Arnau,Romero,Espanya,Bilbao,26,6,1951,Man,3.329,1.0,,Grup D,Arnau Romero,Non,Yes,1951-06-26,74,Grup D,8.0,3.6
650,Pau,Castells,Espanya,Bilbao,20,7,1953,Man,2.952,,1.0,Grup D,Pau Castells,Non,No,1953-07-20,72,Grup D,8.0,3.19
5,Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Others,2.611,,1.0,Grup D,Laia Castells Ferrer,Non,No,1953-12-16,72,Grup D,8.0,2.82
15,Marta,Romero,Espanya,Madrid,10,5,2001,Woman,2.81,1.0,,Grup D,Marta Romero,Non,Yes,2001-05-10,24,Grup D,8.0,3.03
22,Laia,Martínez Sánchez,Espanya,Madrid,14,6,1961,Woman,2.596,,1.0,Grup D,Laia Martínez Sánchez,Non,No,1961-06-14,64,Grup D,8.0,2.8
25,Clara,Ferrer,Espanya,Madrid,17,7,1990,Woman,2.679,,1.0,Grup D,Clara Ferrer,Non,No,1990-07-17,35,Grup D,8.0,2.89
87,Eva,Sánchez,Espanya,Madrid,9,9,1992,Woman,2.885,1.0,,Grup D,Eva Sánchez,Non,Yes,1992-09-09,33,Grup D,8.0,3.12
99,Carla,Martínez,Espanya,Madrid,21,3,1973,Woman,2.85,,1.0,Grup D,Carla Martínez,Non,No,1973-03-21,53,Grup D,8.0,3.08
147,Núria,Sánchez Castells,Espanya,Madrid,12,5,1981,NaN,2.742,,1.0,Grup D,Núria Sánchez Castells,Non,No,1981-05-12,44,Grup D,8.0,2.96
181,Pau,Martínez López,Espanya,Madrid,3,11,2000,Man,2.785,1.0,,Grup D,Pau Martínez López,Non,Yes,2000-11-03,25,Grup D,8.0,3.01
470,Pau,García Romero,Espanya,Madrid,27,12,1983,Man,2.821,,1.0,Grup D,Pau García Romero,Non,No,1983-12-27,42,Grup D,8.0,3.05
687,Pau,García,Espanya,Madrid,11,3,1976,NaN,2.91,,1.0,Grup D,Pau García,Non,No,1976-03-11,50,Grup D,8.0,3.14
725,Jordi,López,Espanya,Madrid,25,6,1995,Man,3.258,,1.0,Grup D,Jordi López,Non,No,1995-06-25,30,Grup D,8.0,3.52
741,Clara,Sánchez,Espanya,Madrid,1,10,2002,Others,3.142,1.0,,Grup D,Clara Sánchez,Non,Yes,2002-10-01,23,Grup D,8.0,3.39
744,Laia,López Castells,Espanya,Madrid,13,8,1971,NaN,2.615,1.0,,Grup D,Laia López Castells,Non,Yes,1971-08-13,54,Grup D,8.0,2.82
749,Oriol,López Castells,Espanya,Madrid,14,4,1987,Man,3.356,,1.0,Grup D,Oriol López Castells,Non,No,1987-04-14,39,Grup D,8.0,3.62
863,Oriol,Ferrer,Espanya,Madrid,12,3,1995,Man,3.257,1.0,,Grup D,Oriol Ferrer,Non,Yes,1995-03-12,31,Grup D,8.0,3.52
879,Marta,López,Espanya,Madrid,9,7,2004,Woman,2.765,,1.0,Grup D,Marta López,Non,No,2004-07-09,21,Grup D,8.0,2.99
70,Marc,Martínez,Espanya,Sevilla,1,8,1977,Man,3.04,,1.0,Grup D,Marc Martínez,Non,No,1977-08-01,48,Grup D,8.0,3.28
173,Carla,López Ferrer,Espanya,Sevilla,4,9,1962,Woman,2.861,,1.0,Grup D,Carla López Ferrer,Non,No,1962-09-04,63,Grup D,8.0,3.09
376,Marc,López,Espanya,Sevilla,8,2,1987,NaN,2.969,,1.0,Grup D,Marc López,Non,No,1987-02-08,39,Grup D,8.0,3.21
427,Clara,García Martínez,Espanya,Sevilla,2,9,1986,Woman,2.396,,1.0,Grup D,Clara García Martínez,Non,No,1986-09-02,39,Grup D,8.0,2.59
518,Joan,Martínez Romero,Espanya,Sevilla,4,7,1971,Man,2.975,,1.0,Grup D,Joan Martínez Romero,Non,No,1971-07-04,54,Grup D,8.0,3.21
639,Toni,López,Espanya,Sevilla,10,3,1989,Man,2.882,,1.0,Grup D,Toni López,Non,No,1989-03-10,37,Grup D,8.0,3.11
952,Anna,Sánchez Castells,Espanya,Sevilla,1,2,1960,Woman,2.63,,1.0,Grup D,Anna Sánchez Castells,Non,No,1960-02-01,66,Grup D,8.0,2.84
115,Arnau,Sánchez García,Espanya,València,24,2,1978,Man,3.283,,1.0,Grup D,Arnau Sánchez García,Non,No,1978-02-24,48,Grup D,8.0,3.55
220,Arnau,Castells Sánchez,Espanya,València,17,4,1998,Man,2.791,,1.0,Grup D,Arnau Castells Sánchez,Non,No,1998-04-17,28,Grup D,8.0,3.01
255,Arnau,Ferrer,Espanya,València,24,3,1990,Others,2.605,1.0,,Grup D,Arnau Ferrer,Non,Yes,1990-03-24,36,Grup D,8.0,2.81
394,Joan,Martínez Sánchez,Espanya,València,18,2,1986,Man,3.318,1.0,,Grup D,Joan Martínez Sánchez,Non,Yes,1986-02-18,40,Grup D,8.0,3.58
448,Carla,Sánchez,Espanya,València,6,3,1957,Woman,2.951,1.0,,Grup D,Carla Sánchez,Non,Yes,1957-03-06,69,Grup D,8.0,3.19
451,Clara,López,Espanya,València,17,2,1951,Woman,2.917,1.0,,Grup D,Clara López,Non,Yes,1951-02-17,75,Grup D,8.0,3.15
537,Clara,Romero,Espanya,València,4,1,1974,Woman,3.021,1.0,,Grup D,Clara Romero,Non,Yes,1974-01-04,52,Grup D,8.0,3.26
553,Arnau,López Martínez,Espanya,València,24,1,1970,Man,3.253,1.0,,Grup D,Arnau López Martínez,Non,Yes,1970-01-24,56,Grup D,8.0,3.51
784,Joan,Martínez Ferrer,Espanya,València,12,3,1964,Man,2.905,,1.0,Grup D,Joan Martínez Ferrer,Non,No,1964-03-12,62,Grup D,8.0,3.14
890,Clara,López Castells,Espanya,València,9,4,1982,Woman,3.002,,1.0,Grup D,Clara López Castells,Non,No,1982-04-09,44,Grup D,8.0,3.24
68,Michel,Lefevre,França,París,21,8,1974,Man,2.661,,1.0,Grup D,Michel Lefevre,Non,No,1974-08-21,51,Grup D,8.0,2.87
710,Michel,Girard Dubois,França,París,9,8,1970,Man,2.973,,1.0,Grup D,Michel Girard Dubois,Non,No,1970-08-09,55,Grup D,8.0,3.21
832,Giovanni,Rossi Russo,Itàlia,Torí,10,12,2000,Man,2.864,1.0,,Grup D,Giovanni Rossi Russo,Non,Yes,2000-12-10,25,Grup D,8.0,3.09
177,Amina,Bennani,Marroc,Casablanca,22,10,2004,Woman,2.948,1.0,,Grup D,Amina Bennani,Non,Yes,2004-10-22,21,Grup D,8.0,3.18
259,María,Cruz,Mèxic,Ciutat de Mèxic,14,3,1958,Woman,2.653,1.0,,Grup D,María Cruz,Non,Yes,1958-03-14,68,Grup D,8.0,2.87
238,Maria,Silva Oliveira,Portugal,Lisboa,4,9,1993,NaN,2.894,,1.0,Grup D,Maria Silva Oliveira,Non,No,1993-09-04,32,Grup D,8.0,3.13
873,Beatriz,Ferreira Pereira,Portugal,Lisboa,25,10,2004,Woman,2.376,1.0,,Grup D,Beatriz Ferreira Pereira,Non,Yes,2004-10-25,21,Grup D,8.0,2.57
